"","ID","Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"19184","10419170","Txndc16",0.927211846293954,5.73687170405117,11.6001894524261,6.62266193440137e-08,0.00137221555280796,7.99605434746081
"4646","10523120","Cxcl5",-1.30417806197917,7.76340702745259,-9.74086187506717,4.51443616263141e-07,0.00312338330855477,6.4664230683558
"13808","10463997","Pdcd4",2.38133838109105,8.01582342805344,9.57260115981992,5.44801233232189e-07,0.00312338330855477,6.31036777605166
"15306","10547177","Rassf4",1.51875126739823,8.31886462329034,9.48274668139295,6.02969750686248e-07,0.00312338330855477,6.2257164411586
"8780","10462618","Ifit3",5.0192968927008,7.60669882200036,9.01158536510904,1.03937082839664e-06,0.00366442508905112,5.7663664437667
"3811","10470775","Cercam",0.74451949580897,7.20527582293214,8.73446746486203,1.4464415660264e-06,0.00366442508905112,5.48360993819719
"5800","10593634","Elmod1",-0.971466457261223,5.87373905435565,-8.67296854990756,1.5581762366059e-06,0.00366442508905112,5.41955163839577
"19885","10522090","Wdr19",1.02055750777752,6.30417795214372,8.54814667968252,1.81440509487935e-06,0.00366442508905112,5.28804571666635
"6682","10565401","Folh1",1.44109306052847,9.05779794941745,8.53255204158287,1.8494595002666e-06,0.00366442508905112,5.27147459869591
"8323","10573713","Heatr3",-0.612193071953032,9.03608275564301,-8.51538349390788,1.88889197497935e-06,0.00366442508905112,5.25319445828561
"4595","10492699","Ctso",0.992312276746503,5.48933288217293,8.49143806065656,1.94539941986305e-06,0.00366442508905112,5.2276345194402
"7857","10538187","Gpnmb",0.938147020987838,11.0214943806381,7.99796024315699,3.62138881958154e-06,0.00535181280832846,4.68388555648256
"14123","10519951","Pion",1.19562312736276,6.3313957203669,7.96167522149976,3.7947600666092e-06,0.00535181280832846,4.64259608217784
"6831","10381603","Fzd2",0.554650426781269,8.15253935247306,7.96048339306166,3.80060303158444e-06,0.00535181280832846,4.64123677365865
"5162","10559312","Dhcr7",-0.635248979492612,7.82944867609026,-7.94560051006228,3.87438185931114e-06,0.00535181280832846,4.62424584384759
"2234","10496971","Asb17",-0.883626730895055,6.02422423411427,-7.86352086417878,4.30974097082542e-06,0.00558111455721892,4.52998430498822
"17024","10462237","Smarca2",0.897892689325326,9.43380620394568,7.60842498634352,6.03069010845692e-06,0.00722664898072986,4.23094096602696
"19841","10584435","Vwa5a",1.18116111683526,7.24621382000028,7.57829984883333,6.27797691376146e-06,0.00722664898072986,4.19500966705583
"5493","10449284","Dusp1",1.54632068320416,9.89985928046096,7.31932505515356,8.90887080448909e-06,0.00916812712216206,3.88064855799152
"16016","10493798","S100a16",-0.72173537284484,9.40983773129684,-7.29728527603228,9.18170963951274e-06,0.00916812712216206,3.85343769285702
"9612","10391013","Krt13",-0.825375019433569,6.66229100372364,-7.25231420459129,9.76644471946964e-06,0.00916812712216206,3.79769030101591
"16659","10595189","Slc17a5",1.05605730820462,8.42360104947023,7.23056913928598,1.00633067452908e-05,0.00916812712216206,3.77062590235227
"8414","10434252","Hira",-0.533526267612224,8.73246640428612,-7.20863467259426,1.03725178069399e-05,0.00916812712216206,3.74325384357651
"14686","10447294","Prkce",0.668296181628149,7.7606843754338,7.19161259919342,1.06194522650526e-05,0.00916812712216206,3.72196209230445
"1718","10533345","Aldh2",1.47201122704696,7.61281077366673,7.09337506905137,1.21725384534556e-05,0.00996585635509005,3.59822824452724
"20102","10389581","Ypel2",0.877147660361731,5.43969562678305,7.0670729825262,1.26282306589877e-05,0.00996585635509005,3.56485131801706
"13773","10479726","Pcmtd2",0.954783605044593,7.21538139884932,7.03410423625341,1.32252379995854e-05,0.00996585635509005,3.5228655991405
"9953","10494445","Lix1l",1.21228644163395,8.88226674136687,7.00270098732093,1.38219062692381e-05,0.00996585635509005,3.48271909585929
"15283","10386455","Rasd1",0.585313032338122,7.31795083422265,6.96072253752773,1.46646543059882e-05,0.00996585635509005,3.42881699581369
"9873","10393573","Lgals3bp",3.16004081359323,8.4337418615387,6.93166571513695,1.52799275383546e-05,0.00996585635509005,3.39134818689576
"3118","10433057","Calcoco1",1.68214434703607,8.3054146288336,6.93070545241049,1.53007241799331e-05,0.00996585635509005,3.39010770738622
"15059","10560644","Pvrl2",0.799197139663081,7.77882392332982,6.92654008448828,1.5391283946085e-05,0.00996585635509005,3.38472518701481
"18956","10503259","Trp53inp1",2.17748621578743,6.5768355826476,6.7947055809869,1.85735419465036e-05,0.0116619330039865,3.21298074340252
"2618","10538901","BC005685",1.21683945686078,9.2815925247367,6.74837803921764,1.98522775652833e-05,0.0120982115044903,3.15198713326074
"9213","10544148","Jhdm1d",2.1969814586544,7.00233190868697,6.70878366452687,2.10194071331402e-05,0.012443489022819,3.09959242001422
"17460","10424349","Sqle",-0.881417289336166,9.03446322521007,-6.64542106517288,2.30415095956113e-05,0.0132616688561408,3.0152340310492
"16890","10426544","Slc48a1",0.46387881973426,9.8667171713724,6.61892543610301,2.39474899476471e-05,0.0134105943706824,2.97977160587209
"8416","10404069","Hist1h1a",-1.07372808776039,9.96979096725546,-6.59966821672326,2.46296811232015e-05,0.0134296577071773,2.95392780292539
"4457","10585214","Cryab",0.79769999647448,8.85661726406225,6.5562018716884,2.62465462873085e-05,0.0136383307935365,2.89537927319465
"19355","10386789","Ulk2",0.887516057062109,7.36853471531241,6.55406664271819,2.63288239257462e-05,0.0136383307935365,2.8924954512601
