"","ID","Symbol","EG","RefSeq","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"14022","HZ6f6QqIg5Qgv72R4Y","Mgst1","56615","NM_019946",-1.13517953998463,12.8264271855841,-6.67930237233652,0.000291295904109163,0.098420560218054,0.893116054542989
"3496","W53ppeThR_6V.X54H8","Apaf1","11783","NM_001042558",0.585061615912457,10.0179188503281,6.67344075537276,0.000292864437308862,0.098420560218054,0.888343630397148
"5537","riGmniWaSiLHiCbaok","Cd63","12512","NM_007653",1.07322095226468,10.9614530616922,6.65846939666138,0.000296913976826167,0.098420560218054,0.876133405155319
"9447","N.oOle60SJ4KJ3UdJU","Gga1","106039","NM_145929",-0.588194075841406,9.05030327399813,-6.61993624740707,0.000307629391553107,0.098420560218054,0.844568810730012
"9708","99UpS4uppQszygWzTU","Gnpda1","26384","NM_011937",0.594949361748874,8.82556389173018,6.61142604828617,0.000310054139542099,0.098420560218054,0.837570749313882
"6039","6o44oq0Xje0C6Ib3CI","Clk4","12750","NM_007714",1.13354029810129,9.83359334567934,6.60287651452157,0.00031251175406466,0.098420560218054,0.830530513703604
"15098","BdXLqmAlKSN4OE17jU","Nnmt","18113","NM_010924",-0.714190283471499,8.50641949761082,-6.5722240578787,0.000321504726441145,0.098420560218054,0.805208119664446
"14809","0uJIOBE1egSLp5xLDI","Ncoa4","27057","NM_019744",1.19329575564019,9.2978460667644,6.54427132783347,0.000329959882573024,0.098420560218054,0.782004905305429
"3806","3.xIp8dIRu9xr6H55Q","Asb3","65257","NM_023906",0.47179353641676,8.61991070608272,6.5359006487127,0.00033254026645178,0.098420560218054,0.775035811397038
"20736","WZJuqUHhC9I41MnNE8","Tinag","26944","NM_012033",-2.03520333185255,8.70415705564235,-6.52421917407209,0.000336179246071042,0.098420560218054,0.765294293955611
"15918","3Z3Se6N4Iv0AEF66E0","Pde1a","18573","NM_016744",-0.77007015345405,8.3460205874991,-6.52075846603448,0.000337265893348018,0.098420560218054,0.762404728871732
"6123","9VNSVNQOUm9FFuSKC4","Cnot10","78893","NM_153585",-0.606912869912099,9.69075505604603,-6.50749210380242,0.000341468196376095,0.098420560218054,0.751312611085252
"6015","xKX9WQ0i4KlOveoo6M","Clec7a","56644","NM_020008",0.766007131013179,8.99284419467419,6.46361747877044,0.000355790852598131,0.0990127363049594,0.714456494997604
"19496","BuLrIvseCnd9EJer98","Slc9a8","77031","NM_178371",-0.665673273466963,9.34277022932043,-6.42630514459964,0.000368503721682719,0.101329749564612,0.682903804034022
"16120","ouepenH.Cdy71_947o","Pgpep1","66522","NM_023217",-0.600544633372845,9.69228516419917,-6.40993738822087,0.000374240847679852,0.101696648231873,0.669001648140222
"19818","WU5Ad0SQ7gifhC39AM","Sparc","20692","NM_009242",-1.25007654785748,9.20205398551416,-6.36141777151625,0.000391845774413033,0.105242484853398,0.62757121034049
"5407","WTIHGqUt4B6nfquA80","Ccl6","20305","NM_009139",0.698658701934175,9.08780007265888,6.34599380228448,0.000397635589758697,0.105569963818924,0.61433170549882
"21927","NekoJ6spEjoSWSAqL8","Unc13d","70450","NM_001009573",-0.902032524034002,8.40397722179199,-6.30249310924523,0.000414488979202343,0.108284719904392,0.576811232152941
"17928","TFcv1xXnrjKSroQhVc","Ring1","19763","NM_009066",-0.525344482244053,8.0741670427143,-6.27837954065167,0.000424175785559014,0.108284719904392,0.555897210930794
"10917","Q1ecCE._8t8qrKz_f0","Ikzf5","67143","NM_175115",0.717512696919739,9.65769927944857,6.27475954934432,0.00042565181232365,0.108284719904392,0.552750408328481
"10206","l76_qWggiFR4B7JV80","Hc","15139","NM_010406",-2.05132786224079,9.27014241599246,-6.27240952169836,0.000426613105519945,0.108284719904392,0.550706566788034
"696","Ze5NHKUUozUXtF0fow","Tmem238","664968","NM_029384",-0.954168697613833,12.1562740415337,-6.18618592677071,0.00046362613866028,0.116388623798409,0.475170746612724
"2008","xqT7p5TTRyQJHiRtUc","6720456H20Rik","218989","NM_172600",-0.678683312737707,8.38307668514676,-6.17515046222487,0.000468618149331198,0.116388623798409,0.465425990988057
"21926","9qykSOhJZICov6e3Eg","Unc13d","70450","NM_001009573",-0.595043115187627,8.37009158963835,-6.12750390719009,0.000490874884953099,0.120619447794114,0.423149590756567
"16353","WgnoUR5fVM2.eOeh9U","Pla2g15","192654","NM_133792",0.97231016151258,11.0537301450937,6.09077563618796,0.000508841497877924,0.121768657383039,0.39033524314443
"11626","6ZtSbtch.NN.SKbKSE","Kras","16653","NM_021284",0.82463202409625,11.0699614869314,6.08553457870416,0.000511464901996805,0.121768657383039,0.385636604633633
"21032","Ws6axNIFomunS68Ikc","Tmem70","70397","NM_027415",-0.843051378558901,10.2502518047508,-6.06437665927659,0.000522210715454841,0.121768657383039,0.366627415937009
"11869","Q74rq3zoueO02Vee3U","Lman2","66890","NM_025828",-0.786108279206442,11.0923031763672,-6.05475164411815,0.000527182688471031,0.121768657383039,0.357958102691302
"5498","xVWugVXe8XvREJ8_OI","Cd274","60533","NM_021893",0.873833467717311,9.23108222206618,6.02652844465334,0.000542070446802233,0.12275238411998,0.332458512157025
"17262","Kn5LesrcQVTJEEr8yI","Pum2","80913","NM_030723",0.520788215429985,9.9158529765896,5.97148501607859,0.000572481035760809,0.126912793999188,0.282387337186139
"22126","lW2Yr78iySR1M5K0gY","Vcam1","22329","NM_011693",1.20587206506581,13.5322043432989,5.96221614000578,0.000577787651358022,0.126912793999188,0.27391137892042
"20222","x7q7pffVn3fftCM9yk","Supt16","114741","NM_033618",-1.34854141925663,10.5673810307336,-5.95420117919528,0.000582420822751489,0.126912793999188,0.26657171971912
"10499","cbFTEd4L7n3UeRJGXU","Hnrnpl","15388","NM_177301",-0.769081180677473,13.4752201401805,-5.93092019714874,0.000596116448720029,0.128683156378834,0.245197742712387
"6151","uIkG694kX7qLRO0RIk","Coasy","71743","NM_027896",-0.948007203938007,11.0706230185572,-5.91090301870508,0.000608180837515831,0.129623887217954,0.226755183721654
"16435","iX7ftT6KGRMk3tQv7o","Pllp","67801","NM_026385",-0.577088513711718,8.22966051409796,-5.88592115757355,0.000623622677623403,0.129623887217954,0.203653839439681
"21648","Qffj_elYcLtxJFLh5g","Tubgcp2","74237","NM_133755",-0.482223866014664,10.7290999826329,-5.88158687862871,0.000626346226503298,0.129623887217954,0.199636234499116
"1792","Wev_ncncS.Osx_.Qu0","Fra10ac1","70567","NM_001081075",-0.522355343882515,11.1116362132875,-5.88002482975442,0.000627331039778608,0.129623887217954,0.19818761690163
"4914","cE2TGlBe5uReBdBflI","C1qc","12262","NM_007574",1.02388018837417,11.9840198041635,5.87702954589054,0.000629224306534174,0.129623887217954,0.195408809261215
"16739","lou3XNN4teKIEuVeOU","Ppp1r16a","73062","NM_033371",-0.635269393414745,8.72560060411721,-5.86152900337755,0.000639124694514052,0.129623887217954,0.181006826462259
"17066","QZwTrs0sQKTqntzqRQ","Psmb5","19173","NM_011186",-0.904622569595132,10.5106243123782,-5.84331527524919,0.000650981509969808,0.129623887217954,0.164037384809911
"10637","NhPvJ9dVyjlBezelCU","Hsd3b7","101502","NM_133943",1.17392092650499,13.2117641812758,5.81150985230044,0.000672281229102518,0.132720955810342,0.134283763572063
"16394","lSJTfXx.nXCUX0hLks","Plekha1","101476","NM_133942",0.524187207770217,9.09002866175605,5.78871069643664,0.000688029438314534,0.134678847171094,0.112860377830859
"10990","oyM1RN1xu0tf7Xiges","Il7","16196","NM_008371",-0.5866852753245,8.11395482549861,-5.7616726253611,0.00070724299449828,0.136143014150381,0.0873506114069764
"4230","ZS5OFli4beP6l9Ee0o","B4galnt1","14421","NM_008080",-1.84144758339371,9.12681360441772,-5.75314597141786,0.000713426041602659,0.136143014150381,0.0792826189423046
"6540","B9MFeehKKC8lCKh5eo","Ctdsp1","227292","NM_153088",-0.47133825885361,9.37986499605176,-5.73994637081167,0.000723117237732796,0.136143014150381,0.0667709593392418
"22325","Nro7rR3okkggomjIiE","Wdr46","57315","NM_020603",-1.13276335860649,8.91165863573876,-5.73743176562502,0.000724980116914748,0.136143014150381,0.0643843645987996
"18796","c8Qpr._3OVXN_R9BZU","Serpina1e","20704","NM_009247",-4.56680693769967,10.1237650692646,-5.71103574944206,0.000744862132744713,0.138748593081753,0.0392731339663577
"21563","6n91D11LF7P3gEQjFY","Ttc27","74196","NM_152817",-1.43088955009865,10.3892371316332,-5.69138817366245,0.000760056997319151,0.140446372192622,0.0205118346627842
"11135","ZUXB5wOu.rTuuhe7Aw","Irf1","16362","NM_008390",1.15631616018926,11.4030266852513,5.67251808256179,0.000774977472367671,0.140659608087881,0.00243650897580938
