"","","exprtTATwistRas - expras"
"BJL13eLe54KJpdq730","NM_183275","-0.511254939418155"
"Kq9tUl5U1c8QEehFNE","NM_026741","0.713731450798953"
"rXRBdSen86cgxoCYHo","NM_133697","-0.318078520822729"
"Q0TJn3D_WbuKok96jo","NM_028336","-0.0300797809718896"
"ZRMmfcP5Zu4qiT3qOs","NM_028336","0.00274924685096423"
"oUbHrE.8X3kmX1Se0c","NM_025838","0.342182153353878"
"6hzuqADiAFANNtCNSQ","NM_026502","-0.485192843869887"
"rlEsx9eOSCDUAvQ.60","NM_028865","-0.196730831624642"
"WhFCXOvBejAcCgIkSI","NM_025364","-0.0545738761329986"
"014Jl_F0QTef1HquFo","NM_028661","0.242167394936279"
"i_O6DTp5LjO.80mfro","NM_134142","-0.126612360202524"
"KlKSzXuiooq7G9vxzo","XM_001476942","-0.419435388246316"
"KerejSPsFeFKScrd.o","NM_145955","0.34226694055161"
"WpIHpf1SBK6a9en9I8","NM_145955","-0.16023688860958"
"QntdL1J7h7KS7_gzyQ","NM_009712","0.24089191895054"
"iEQnjeeXnVEtcLtS5c","NM_025368","1.51261571156268"
"f26pez9.9wMfP.Tz8w","NM_026738","-0.559142002138327"
"cn8lK7k77ZT_T.i034","NM_025382","0.116910201750613"
"N.dRVEXSjShUcqEjko","NM_197986","-0.347562741809625"
"NiQpUn3npQ2719I0VE","NM_026269","-0.0777057782561137"
"uShQiQpUn3npQ2719I","NM_026269","-0.039592198546659"
"3ed6Yr.Aq5Tqd0bX24","NM_026269","0.515141785327659"
"EuK6E726dKe5xL93v4","NM_026269","0.0398721816266967"
"EA0YBB9V7O71QnWZX4","NM_026742","-0.878977261253185"
"BHFxA2GKCDOqkbqJ0U","NM_026124","0.0856290732184757"
"HpiqXtdUJYJdfoLiPc","NM_029096","-0.14090594023608"
"xAZdRquUa4o6lM_1y0","NM_029096","0.109434407677504"
"Wk.bOIevpih6BkUb_Q","NM_029096","-0.148982824756921"
"xTdqx6XUjXLq3FJehQ","NM_198001","0.444384488581585"
"cVIUR6a37_0XHuu1J4","NM_029095","-0.291758824145123"
"Qx6UVK1Xp6naeqBFP8","NM_170777","0.279925614781655"
"0Jx4U9wd1dd4914UI0","NM_178066","-0.0788742015169976"
"9_nW4rLkpfoqTnoR6M","NM_029097","0.348486079915999"
"Te9b3r6v3U74vaLvcI","NM_172963","0.357515114488153"
"ZUrITVIkfjVHogIOHk","NM_026787","-0.370491776119767"
"xuwHot5ZuMLhAniKVE","NM_026787","-0.777810517805186"
"33u3IpRM5FJLAZxeoU","NM_028617","-0.370463764327095"
"3DlV58ST4SKAPLBdVU","NM_001014995","0.325493236667227"
"iOUmMpelCSZ7_awV_A","NM_026746","-0.630330034243004"
"H6UxMYIoJT72Tj4NQk","NM_026746","0.000874310355467145"
"ZqJ4IJDOs9OSEiION4","NM_026746","-0.35248387423698"
"NJRILqeKAotqt6m5hs","NM_026746","-0.473468151929411"
"xoIUlTv953X.fa19O0","NM_028622","-0.268472090708012"
"cl0jXW4s5cUDvuPAik","NM_134020","-0.0465758448271671"
"WnZS_fhSugSNSCiSjw","NM_134020","-0.281832461965571"
"NKlv0b0TVERWuFNI.s","NM_134020","-0.240303880780735"
"9TVERWuFNI.t9HUHUU","NM_134020","-0.115237189642544"
"BVFwKECJ6OB4K8UFko","NM_028634","-0.0476082600799934"
"TleJV_KeiTUeseAtd8","NM_026748","0.120520666229844"
"lrr1SIBBzstTXi.u3g","NM_028624","2.06876633267698"
"KrRaUoOQ7nvEHVWU08","NM_028624","1.93113928163402"
"xrJA79i8ifCsUbuUfU","NM_028624","1.20966360844628"
"KlOwycg4DvNeCXvsT4","XM_001480627","0.74393230963701"
"Q6iFJ5XXp.6f.rtfgo","NM_178065","0.274539663073313"
"NJe6aktHpUf.j9QohU","NM_025370","-0.0465242936459873"
"BfSJe6aktHpUf.j9Qo","NM_025370","-0.00308968543809307"
"E_9yeLHM6itcUM2FVQ","NM_171826","0.534835988322083"
